models,smape,mae,rmse,mase
lagllama Hong_Kong_Dengue short,46.91322273286163,3.1146897077560425,3.5822567712538103,1.5573448538780212
lagllama Colombia_Malaria short,83.02843038058795,1382.672607421875,1474.3324652373872,11.411328259327716
lagllama Bangkok_Dengue short,24.98452849642168,245.915283203125,274.7515428348246,0.9915938838835685
lagllama Ahmedabad_Dengue short,52.88308123732286,6.506533569759792,8.994484633586078,1.0010051645784297
lagllama Mexico_Influenza short,131.33356076813314,38.65879249572754,48.561040001059574,7.028871362859553
lagllama Australia_Inflluenza short,130.7981959866862,98.94107913970947,120.49218076445756,3.9001670200300413
lagllama Venezuela_Malaria short,76.59131514875452,938.399396623884,1200.35253931292,7.619732764591187
lagllama Singapore_Dengue short,100.68097338703308,258.60490933586567,321.05694189493454,6.240842457577452
lagllama Iquitos_Dengue short,94.95269783574724,3.9518863558769226,4.615112459552302,0.9249095726520458
lagllama Columbia_Dengue short,71.61718132458029,1075.9834923377405,1111.8827725200329,11.813176494101452
lagllama Venezuela_Dengue short,33.30586596750679,454.582510811942,554.6474501139802,2.9786152422153456
lagllama Philippines_Dengue short,109.88453466375925,45.14185078938802,53.55304277245344,0.7861222796392779
lagllama Japan_Influenza short,187.69327203327487,272.2718021392822,299.43399643533536,40.41534563004971
lagllama Sanjuan_Dengue short,126.32653261258444,105.83154431978862,119.39426314754205,5.687209157371818
lagllama China_Hepatitis_B short,7.298373559996316,6959.68359375,7758.453624858395,0.8979078304412333
