models,smape,mae,rmse,mase
tirex Hong_Kong_Dengue short,25.439573812867412,2.0400935411453247,2.2659957106146775,1.0200467705726624
tirex Colombia_Malaria short,21.177362046725047,175.58221435546875,224.7647919105574,1.4490966796875
tirex Bangkok_Dengue short,12.77159608624802,148.16354370117188,166.60815247207518,0.5974336439563382
tirex Ahmedabad_Dengue short,41.8819125926392,4.0109495057000055,5.061497503463667,0.6170691547230778
tirex Mexico_Influenza short,41.24571050482788,3.756678412942325,5.043298475719213,0.6830324387167864
tirex Australia_Inflluenza short,23.056232895211874,17.13435001373291,25.59465380802022,0.675420436225986
tirex Venezuela_Malaria short,7.274982275038718,116.88306535993304,131.16120270040852,0.9490817299682258
tirex Singapore_Dengue short,48.991860092023934,164.75818589154412,235.3695880951327,3.976064817895484
tirex Iquitos_Dengue short,95.94914478617103,4.984592437744141,5.871284117815538,1.1666067407486287
tirex Columbia_Dengue short,12.332764109824655,109.13268103966347,181.06042458260893,1.1981630123293336
tirex Venezuela_Dengue short,59.74307858248382,651.6095537458148,769.961920234626,4.269619051761891
tirex Philippines_Dengue short,4.212446515061745,2.542112573486328,2.879195171891508,0.04426959476030601
tirex Japan_Influenza short,71.63243166108305,5.723003387451172,8.918614256287087,0.8495083153247833
tirex Sanjuan_Dengue short,72.57321011822164,69.0800392627716,79.52946023965384,3.712245100569502
tirex China_Hepatitis_B short,4.910413176737584,4584.78515625,5282.215251440908,0.5915088577280351
