iter	Passed	Remaining
0	0	29
1	1	28
2	1	26
3	2	24
4	2	23
5	2	21
6	3	20
7	3	19
8	4	18
9	4	17
10	4	17
11	5	16
12	5	15
13	5	15
14	6	14
15	6	14
16	7	13
17	7	13
18	7	12
19	8	12
20	8	11
21	8	11
22	9	10
23	9	10
24	10	10
25	10	9
26	10	9
27	11	8
28	11	8
29	11	7
30	11	7
31	12	6
32	12	6
33	12	6
34	13	5
35	13	5
36	13	4
37	14	4
38	14	4
39	14	3
40	15	3
41	15	2
42	15	2
43	16	2
44	16	1
45	16	1
46	17	1
47	17	0
48	17	0
49	18	0
